# title: ADVERSARIAL HELD-OUT SET — phenomena in combination
# Each capture compounds two phenomena the 389-case held-out set tests
# one at a time. A failure here with both ingredients scoring well alone
# is evidence about composition, not about a missing feature.
id	pair	utterance	expect	keep	reject	families	note
AR01	repair-x-name	text Baker about the invoice no sorry text Rose	Today:task	Rose	Baker	self-correction|name-as-noun	replaced person is also a trade name
AR02	repair-x-name	ask Mason to look at the wall I mean ask Brook	Today:task	Brook	Mason	self-correction|name-as-noun	both names double as nouns
AR03	repair-x-name	the keys are with Bill no wait with Pearl	Memory:note	Pearl	Bill	self-correction|name-as-noun	Bill also a common noun
AR04	repair-x-name	call Sunny about the roof scratch that call Hazel	Today:task	Hazel	Sunny	self-correction|name-as-noun	adjective-shaped name
AR05	repair-x-name	Robin is driving no actually Wren is driving	Memory:note	Wren	Robin	self-correction|name-as-noun	two bird nouns
AR06	repair-x-name	send the file to Frank sorry I mean to Daisy	Today:task	Daisy	Frank	self-correction|name-as-noun	frank also an adjective
AR07	repair-x-name	Heather has the spare no hang on Iris does	Memory:note	Iris	Heather	self-correction|name-as-noun	two plant nouns
AR08	repair-x-name	book it with Taylor no with Miller	Today:task	Miller	Taylor	self-correction|name-as-noun	two occupation surnames
AR09	repair-x-name	remind me to thank Grace I mean thank Ruby	Today:task	Ruby	Grace	self-correction|name-as-noun	abstract noun and gemstone
AR10	repair-x-name	Page is covering Friday no sorry Reed is	Memory:note	Reed	Page	self-correction|name-as-noun	both everyday nouns
AR11	repair-x-name	ping Dexter about the quote actually ping Marlow	Today:task	Marlow	Dexter	self-correction|name-as-noun	actually as the repair marker
AR12	repair-x-name	the invoice goes to Cooper no to Fletcher	Memory:note	Fletcher	Cooper	self-correction|name-as-noun	two trade surnames
AN01	negation-x-multi	don't call the vet today but do book the groomer for Thursday	Today:task	groomer	-	negation|multi-task	negated clause is not the action
AN02	negation-x-multi	no need to email Priya but I do need to send the deck	Today:task	deck	-	negation|multi-task	the operative half is second
AN03	negation-x-multi	skip the milk but get bread and eggs	Today:shopping|Today:shopping	bread|eggs	-	negation|multi-task	skip is an exclusion not a task
AN04	negation-x-multi	don't book the hotel yet just check the flights	Today:task	flights	-	negation|multi-task	yet defers rather than cancels
AN05	negation-x-multi	don't forget to pay the sitter and to text her the code	Today:task|Today:task	sitter|code	-	negation|multi-task	don't forget means do
AN06	negation-x-multi	I don't need the receipt but I do need the warranty card	Today:task	warranty	-	negation|multi-task	contrast across a need
AN07	negation-x-multi	not the blue folder the red one and bring the charger	Today:task|Today:task	red|charger	-	negation|multi-task	exclusion plus a second action
AN08	negation-x-multi	don't let me forget the passport or the adapter	Today:task	passport|adapter	-	negation|multi-task	double negative meaning do
AN09	negation-x-multi	no dairy for Ines but she can have the oat stuff	Memory:note	Ines|oat	-	negation|multi-task	a standing fact, not an action
AN10	negation-x-multi	we're not going Friday we're going Saturday	Memory:note	Saturday	-	negation|multi-task	negation carrying a date switch
AN11	negation-x-multi	I didn't finish the report so that's still open and the slides are done	Memory:note|Memory:note	report|slides	-	negation|multi-task	two states, one negated
AN12	negation-x-multi	don't wait for the delivery but do sign for the parcel	Today:task	sign	-	negation|multi-task	near-identical verbs, opposite polarity
AS01	reported-x-op	Mum said cancel the Friday appointment	Op:cancel	Friday appointment	-	reported-speech|operation	an instruction relayed, not authored
AS02	reported-x-op	Priya says drop the Tuesday call	Op:cancel	Tuesday call	-	reported-speech|operation	drop as a cancel verb
AS03	reported-x-op	the clinic rang and said move the appointment to the 19th	Today:task	19th	-	reported-speech|operation	a move, not a cancel
AS04	reported-x-op	Dad texted saying forget the airport run	Op:cancel	airport run	-	reported-speech|operation	forget used as cancel
AS05	reported-x-op	she said remind her about the deposit	Today:task	deposit	-	reported-speech|operation	reported request for a reminder
AS06	reported-x-op	the landlord said don't pay until the invoice comes	Memory:note	invoice	-	reported-speech|operation|negation	reported negated instruction
AS07	reported-x-op	Ines told me to scrap the Thursday session	Op:cancel	Thursday session	-	reported-speech|operation	scrap as cancel
AS08	reported-x-op	my boss said push the review to next month	Today:task	review	-	reported-speech|operation	push is a move not a delete
AS09	reported-x-op	the garage said the car's ready and to collect it today	Today:task	collect	-	reported-speech|operation	statement plus instruction
AS10	reported-x-op	Aurelio said cancel nothing yet	Memory:note	Aurelio	-	reported-speech|operation	cancel appears but nothing is cancelled
AS11	reported-x-op	the school said no lunch money is needed on Wednesday	Memory:note	Wednesday|lunch money	-	reported-speech|operation	reported negation about a date
AS12	reported-x-op	he said delete the old draft not the final one	Op:cancel	old draft	-	reported-speech|operation|negation	reported operation with an exclusion
AU01	runon-x-repair	pick up the dry cleaning call the bank no the credit union post Ada's letter	Today:task|Today:task|Today:task	dry cleaning|credit union|Ada	the bank	run-on|self-correction	repair inside the middle thought
AU02	runon-x-repair	book the table for six no eight confirm the taxi text Priya the address	Today:task|Today:task|Today:task	eight|taxi|address	for six	run-on|self-correction	corrected number, no markers
AU03	runon-x-repair	water the plants email the tutor no the coach feed the cat	Today:task|Today:task|Today:task	plants|coach|cat	the tutor	run-on|self-correction	corrected recipient mid-run
AU04	runon-x-repair	finish the slides send them to Rose no Hazel then log off	Today:task|Today:task	slides|Hazel	Rose	run-on|self-correction	repair on a name-as-noun
AU05	runon-x-repair	get petrol check the tyres no the oil drop the parcel	Today:task|Today:task|Today:task	petrol|the oil|parcel	the tyres	run-on|self-correction	corrected object
AU06	runon-x-repair	call the dentist move it to the 12th no the 14th add it to the calendar	Today:task|Today:task	dentist|14th	the 12th	run-on|self-correction	corrected date mid-run
AU07	runon-x-repair	print the forms sign them post them Tuesday no Wednesday	Today:task|Today:task	forms|Wednesday	Tuesday	run-on|self-correction	repair lands on the last word
AU08	runon-x-repair	pack the bags charge the camera no the power bank lock the door	Today:task|Today:task|Today:task	bags|power bank|door	the camera	run-on|self-correction	corrected device
AU09	runon-x-repair	ring Nadia confirm the venue no the caterer send the deposit	Today:task|Today:task|Today:task	Nadia|caterer|deposit	the venue	run-on|self-correction	three actions, one repaired
AU10	runon-x-repair	buy stamps post the cheque to Miller no to Fletcher tell Dad it's done	Today:task|Today:task|Today:task	stamps|Fletcher|Dad	Miller	run-on|self-correction	repair plus a third thought
AU11	runon-x-repair	clear the inbox reply to the landlord no the agent book the viewing	Today:task|Today:task|Today:task	inbox|the agent|viewing	the landlord	run-on|self-correction	corrected role
AU12	runon-x-repair	take the bins out walk the dog at six no seven lock up	Today:task|Today:task|Today:task	bins|dog|seven	at six	run-on|self-correction	corrected time, no markers
AC01	cond-x-negation	if Priya doesn't reply by five don't send the deck	Memory:note	Priya|deck	-	conditional|negation	both halves negated
AC02	cond-x-negation	unless the parts arrive don't book the fitter	Memory:note	fitter	-	conditional|negation	unless plus a negated action
AC03	cond-x-negation	if it's not raining Saturday we'll walk	Memory:note	Saturday	-	conditional|negation	negated condition, positive outcome
AC04	cond-x-negation	don't pay the invoice unless Aurelio has signed it off	Memory:note	invoice|Aurelio	-	conditional|negation	order reversed
AC05	cond-x-negation	if she can't make Thursday we move to Friday	Memory:note	Thursday|Friday	-	conditional|negation	two weekdays under a condition
AC06	cond-x-negation	if there's no parking don't circle just use the garage	Memory:note	garage	-	conditional|negation	three clauses, two negated
AC07	cond-x-negation	unless I hear otherwise the meeting isn't happening	Memory:note	meeting	-	conditional|negation	double uncertainty
AC08	cond-x-negation	if the test isn't back by Wednesday call the clinic	Today:task	Wednesday|clinic	-	conditional|negation	negated condition, real action
AC09	cond-x-negation	don't start the boiler job if the tenant hasn't moved out	Memory:note	boiler|tenant	-	conditional|negation	two negations, trailing condition
AC10	cond-x-negation	if Ines doesn't want it don't buy the second ticket	Memory:note	second ticket	-	conditional|negation	conditional purchase
AC11	cond-x-negation	unless it's cancelled the coach leaves at seven	Memory:note	seven|coach	-	conditional|negation	cancel word inside a condition
AC12	cond-x-negation	if I haven't texted by noon don't wait for me	Memory:note	noon	-	conditional|negation	negated perfect plus imperative
AO01	role-x-people	the plumber and Doctor Nwosu both need paying	Today:task	plumber|Nwosu	-	occupation-vs-person|multi-person	role and titled name together
AO02	role-x-people	tell the dentist and Priya I'll be late	Today:task	dentist|Priya	-	occupation-vs-person|multi-person	role plus given name
AO03	role-x-people	the electrician says Marlow has the key	Memory:note	electrician|Marlow	-	occupation-vs-person|multi-person	role as speaker
AO04	role-x-people	Baker the accountant is meeting Rose the solicitor Thursday	Memory:note	Baker|Rose|Thursday	-	occupation-vs-person|multi-person	two names that are also nouns, each apposed to a role
AO05	role-x-people	ask the nurse whether Ines needs the form	Today:task	nurse|Ines	-	occupation-vs-person|multi-person	role plus name in one question
AO06	role-x-people	the driver and the tutor both cancelled	Memory:note	driver|tutor	-	occupation-vs-person|multi-person	two roles, no names
AO07	role-x-people	Cooper is our new plumber and Miller does the roof	Memory:note	Cooper|Miller	-	occupation-vs-person|multi-person	surname-as-trade against actual trade
AO08	role-x-people	chase the surveyor and email Aurelio about it	Today:task|Today:task	surveyor|Aurelio	-	occupation-vs-person|multi-person	two actions, role and name
AO09	role-x-people	my optician is called Reed and her assistant is Wren	Memory:note	Reed|Wren	-	occupation-vs-person|multi-person	two noun-names in one fact
AO10	role-x-people	the vet wants Hazel to bring the records	Memory:note	vet|Hazel	-	occupation-vs-person|multi-person	third-party obligation
AO11	role-x-people	book the cleaner then let Fletcher know	Today:task|Today:task	cleaner|Fletcher	-	occupation-vs-person|multi-person	sequence across role and name
