id,phenomena,family,spoken_rendering,expected_summary,actual_summary,failure_signature,selected_because
rd-656bd4d41c8a7cda02a137e2,,family-exact-date-time-person-date,Join the dentist appointment for the birthday with Priya Shah on Tue Aug 4 at 16:15.,"{""ambiguity_policy"":""act"",""item_count"":1,""items"":[{""date"":""Tue Aug 4"",""facts"":[""join the dentist appointment for the birthday""],""forbidden_facts"":[],""location"":null,""needs_review"":false,""negation"":false,""person"":""Priya Shah"",""prohibition"":false,""recurrence"":null,""route"":""Today"",""state"":""outstanding"",""time"":""16:15"",""title"":""join the dentist appointment for the birthday"",""type"":""reminder""}],""operations"":[],""shared_context"":{""location"":null,""person"":null,""temporal"":null}}","{""items"":[{""analysis"":""Join the dentist appointment for the birthday with Priya Shah on Tue Aug 4 at 4:15 pm."",""delivery"":""none"",""due"":1785874500,""location"":""nil"",""needsReview"":false,""person"":null,""quote"":""Join the dentist appointment for the birthday with Priya Shah on Tue Aug 4 at 4:15 pm."",""rawQuote"":""Join the dentist appointment for the birthday with Priya Shah on Tue Aug 4 at 16:15"",""recurrence"":""nil"",""reminder"":null,""route"":""Today"",""state"":""resolved"",""title"":""Join the dentist appointment for the birthday with Priya Shah on Tue Aug 4 at 4:15 pm"",""type"":""event"",""wasRepaired"":true}],""operations"":[],""text"":""Join the dentist appointment for the birthday with Priya Shah on Tue Aug 4 at 16:15.""}",person_preservation|time_preservation|type:aee8c4776546e0a4,failure|hash_random_fill
rd-a2df21f5e83737eed16b9347,,family-two-tasks-shared-location-plain,"Print the handouts for the core project at Farm Boy. Also, call Maya about dinner with Maya Chen at Farm Boy.","{""ambiguity_policy"":""act"",""item_count"":2,""items"":[{""date"":null,""facts"":[""print the handouts for the core project""],""forbidden_facts"":[],""location"":""Farm Boy"",""needs_review"":false,""negation"":false,""person"":null,""prohibition"":false,""recurrence"":null,""route"":""Today"",""state"":""outstanding"",""time"":null,""title"":""print the handouts for the core project"",""type"":""task""},{""date"":null,""facts"":[""call Maya about dinner""],""forbidden_facts"":[],""location"":""Farm Boy"",""needs_review"":false,""negation"":false,""person"":""Maya Chen"",""prohibition"":false,""recurrence"":null,""route"":""Today"",""state"":""outstanding"",""time"":null,""title"":""call Maya about dinner"",""type"":""task""}],""operations"":[],""shared_context"":{""location"":""Farm Boy"",""person"":null,""temporal"":null}}","{""items"":[{""analysis"":""Print the handouts for the core project at Farm Boy"",""delivery"":""none"",""due"":null,""location"":""nil"",""needsReview"":false,""person"":null,""quote"":""Print the handouts for the core project at Farm Boy"",""rawQuote"":""Print the handouts for the core project at Farm Boy"",""recurrence"":""nil"",""reminder"":null,""route"":""Today"",""state"":""resolved"",""title"":""Print the handouts for the core project at Farm Boy"",""type"":""task"",""wasRepaired"":false},{""analysis"":""call Maya about dinner with Maya Chen at Farm Boy"",""delivery"":""none"",""due"":null,""location"":""nil"",""needsReview"":false,""person"":""Maya"",""quote"":""call Maya about dinner with Maya Chen at Farm Boy"",""rawQuote"":""call Maya about dinner with Maya Chen at Farm Boy"",""recurrence"":""nil"",""reminder"":null,""route"":""Today"",""state"":""resolved"",""title"":""Call Maya about dinner with Maya Chen at Farm Boy"",""type"":""personFollowUp"",""wasRepaired"":false}],""operations"":[],""text"":""Print the handouts for the core project at Farm Boy. Also, call Maya about dinner with Maya Chen at Farm Boy.""}",location_preservation|type:f801f2db117f0ea1,failure|hash_random_fill
rd-1ca5aa10370174307937068c,uncertainty|change-of-intent|sign-off-trailing-noise,family-ambiguous-review-person-date,"Maybe this is a task, maybe it's only a thought— I'm not sure whether this is a task or just something to keep, but a note for later: send the document to her for the birthday with Priya Shah, okay that's all.","{""ambiguity_policy"":""review"",""item_count"":1,""items"":[{""date"":null,""facts"":[""send the document to her for the birthday""],""forbidden_facts"":[],""location"":null,""needs_review"":true,""negation"":false,""person"":""Priya Shah"",""prohibition"":false,""recurrence"":null,""route"":""Memory"",""state"":""uncertain"",""time"":null,""title"":""send the document to her for the birthday"",""type"":""note""}],""operations"":[],""shared_context"":{""location"":null,""person"":null,""temporal"":null}}","{""items"":[{""analysis"":""Maybe this is a task, maybe it's only a thought— I'm not sure whether this is a task or just something to keep, but a note for later:"",""delivery"":""none"",""due"":null,""location"":""nil"",""needsReview"":false,""person"":null,""quote"":""Maybe this is a task, maybe it's only a thought— I'm not sure whether this is a task or just something to keep, but a note for later:"",""rawQuote"":""Maybe this is a task, maybe it's only a thought— I'm not sure whether this is a task or just something to keep, but a note for later:"",""recurrence"":""nil"",""reminder"":null,""route"":""Memory"",""state"":""resolved"",""title"":""This is a task, maybe it's only a thought— I'm not sure whether this is a task or just something to keep, but a note for later"",""type"":""note"",""wasRepaired"":false},{""analysis"":""send the document to her for the birthday with Priya Shah, okay that's all"",""delivery"":""none"",""due"":null,""location"":""nil"",""needsReview"":false,""person"":null,""quote"":""send the document to her for the birthday with Priya Shah, okay that's all"",""rawQuote"":""send the document to her for the birthday with Priya Shah, okay that's all"",""recurrence"":""nil"",""reminder"":null,""route"":""Today"",""state"":""resolved"",""title"":""Send the document to her for the birthday with Priya Shah, okay that's all"",""type"":""task"",""wasRepaired"":false}],""operations"":[],""text"":""Maybe this is a task, maybe it's only a thought— I'm not sure whether this is a task or just something to keep, but a note for later: send the document to her for the birthday with Priya Shah, okay that's all.""}",item_count|over_split|person_preservation|review_ambiguity_behavior|routing|type|wrong_merge:94983156efe3d36c,phenomenon_coverage|multi_phenomenon|failure|compound_failure|unusual_item_count|ai_candidate|suspicious_synthetic
rd-3de1e83ed24fcbdec3e11664,,family-two-tasks-shared-location-weekend-context,"Print the handouts for the family trip with Xochitl Rivera at Farm Boy on Sat Aug 8 at 11:00. Also, call Maya about dinner with Xochitl Rivera at Farm Boy on Sat Aug 8 at 11:00.","{""ambiguity_policy"":""act"",""item_count"":2,""items"":[{""date"":""Sat Aug 8"",""facts"":[""print the handouts for the family trip""],""forbidden_facts"":[],""location"":""Farm Boy"",""needs_review"":false,""negation"":false,""person"":""Xochitl Rivera"",""prohibition"":false,""recurrence"":null,""route"":""Today"",""state"":""outstanding"",""time"":""11:00"",""title"":""print the handouts for the family trip"",""type"":""task""},{""date"":""Sat Aug 8"",""facts"":[""call Maya about dinner""],""forbidden_facts"":[],""location"":""Farm Boy"",""needs_review"":false,""negation"":false,""person"":""Xochitl Rivera"",""prohibition"":false,""recurrence"":null,""route"":""Today"",""state"":""outstanding"",""time"":""11:00"",""title"":""call Maya about dinner"",""type"":""task""}],""operations"":[],""shared_context"":{""location"":""Farm Boy"",""person"":""Xochitl Rivera"",""temporal"":null}}","{""items"":[{""analysis"":""Print the handouts for the family trip with Xochitl Rivera at Farm Boy on Sat Aug 8 at 11:00"",""delivery"":""none"",""due"":1786201200,""location"":""nil"",""needsReview"":false,""person"":null,""quote"":""Print the handouts for the family trip with Xochitl Rivera at Farm Boy on Sat Aug 8 at 11:00"",""rawQuote"":""Print the handouts for the family trip with Xochitl Rivera at Farm Boy on Sat Aug 8 at 11:00"",""recurrence"":""nil"",""reminder"":null,""route"":""Today"",""state"":""resolved"",""title"":""Print the handouts for the family trip with Xochitl Rivera at Farm Boy on Sat Aug 8 at 11:00"",""type"":""task"",""wasRepaired"":false},{""analysis"":""call Maya about dinner with Xochitl Rivera at Farm Boy on Sat Aug 8 at 11:00"",""delivery"":""none"",""due"":1786244400,""location"":""nil"",""needsReview"":false,""person"":""Maya"",""quote"":""call Maya about dinner with Xochitl Rivera at Farm Boy on Sat Aug 8 at 11:00"",""rawQuote"":""call Maya about dinner with Xochitl Rivera at Farm Boy on Sat Aug 8 at 11:00"",""recurrence"":""nil"",""reminder"":null,""route"":""Today"",""state"":""resolved"",""title"":""Call Maya about dinner with Xochitl Rivera at Farm Boy on Sat Aug 8 at 11:00"",""type"":""personFollowUp"",""wasRepaired"":false}],""operations"":[],""text"":""Print the handouts for the family trip with Xochitl Rivera at Farm Boy on Sat Aug 8 at 11:00. Also, call Maya about dinner with Xochitl Rivera at Farm Boy on Sat Aug 8 at 11:00.""}",location_preservation|person_preservation|time_preservation|type:a8ea155a6d94fb7f,failure|hash_random_fill
rd-d608f79bc52d0fb52a7eda31,,family-prohibition-priority-context,Do not send the confidential draft for the tax filing with Hope Reed on Wed Aug 5.,"{""ambiguity_policy"":""act"",""item_count"":1,""items"":[{""date"":""Wed Aug 5"",""facts"":[""send the confidential draft for the tax filing""],""forbidden_facts"":[],""location"":null,""needs_review"":false,""negation"":true,""person"":""Hope Reed"",""prohibition"":true,""recurrence"":null,""route"":""Today"",""state"":""outstanding"",""time"":null,""title"":""send the confidential draft for the tax filing"",""type"":""task""}],""operations"":[],""shared_context"":{""location"":null,""person"":null,""temporal"":null}}","{""items"":[],""operations"":[{""operation"":""cancel"",""scoped"":false,""target"":""send the confidential draft for the tax filing with hope reed on wed aug 5""}],""text"":""Do not send the confidential draft for the tax filing with Hope Reed on Wed Aug 5.""}",cancellation_correctness|date_preservation|false_negative_item_creation|item_count|location_preservation|lost_information|person_preservation|recurrence_preservation|routing|time_preservation|title_content_preservation|type|under_split|wrong_merge:38bbeb4049f60a00,safety_critical|failure|compound_failure|unusual_item_count
rd-0f48e890a349b259d7e43a2a,self-correction-person|hesitation|sign-off-trailing-noise,family-negative-statement-person-time,"This is for Sam— sorry, for Noah Brooks. make a note that the invoice was not sent for the interview with Noah Brooks on Tue Aug 4 at 09:30, okay that's all.","{""ambiguity_policy"":""act"",""item_count"":1,""items"":[{""date"":""Tue Aug 4"",""facts"":[""record that the invoice was not sent for the interview""],""forbidden_facts"":[],""location"":null,""needs_review"":false,""negation"":true,""person"":""Noah Brooks"",""prohibition"":false,""recurrence"":null,""route"":""Memory"",""state"":""informational"",""time"":""09:30"",""title"":""record that the invoice was not sent for the interview"",""type"":""memory""}],""operations"":[],""shared_context"":{""location"":null,""person"":null,""temporal"":null}}","{""items"":[{""analysis"":""for Noah Brooks"",""delivery"":""none"",""due"":null,""location"":""nil"",""needsReview"":false,""person"":null,""quote"":""for Noah Brooks"",""rawQuote"":""for Sam— sorry, for Noah Brooks"",""recurrence"":""nil"",""reminder"":null,""route"":""Memory"",""state"":""resolved"",""title"":""For Noah Brooks"",""type"":""note"",""wasRepaired"":true},{""analysis"":""make a note that the invoice was not sent for the interview with Noah Brooks on Tue Aug 4 at 09:30, okay that's all"",""delivery"":""none"",""due"":null,""location"":""nil"",""needsReview"":false,""person"":null,""quote"":""make a note that the invoice was not sent for the interview with Noah Brooks on Tue Aug 4 at 09:30, okay that's all"",""rawQuote"":""make a note that the invoice was not sent for the interview with Noah Brooks on Tue Aug 4 at 09:30, okay that's all"",""recurrence"":""nil"",""reminder"":null,""route"":""Memory"",""state"":""resolved"",""title"":""The invoice was not sent for the interview with Noah Brooks on Tue Aug 4 at 09:30, okay that's all"",""type"":""note"",""wasRepaired"":false}],""operations"":[],""text"":""This is for Sam— sorry, for Noah Brooks. make a note that the invoice was not sent for the interview with Noah Brooks on Tue Aug 4 at 09:30, okay that's all.""}",date_preservation|item_count|lost_information|negation_correctness|over_split|person_preservation|routing|time_preservation|title_content_preservation|type|wrong_merge:947d29eef5cec453,phenomenon_coverage|safety_critical|multi_phenomenon|failure|compound_failure|unusual_item_count|ai_candidate
rd-50f27d93265ef691f1fb5d84,cancellation,family-cancellation-plain,"Okay, cancel the saved reminder to water the basil for the core project.","{""ambiguity_policy"":""act"",""item_count"":0,""items"":[],""operations"":[{""operation"":""cancel"",""scoped"":false,""target"":""water the basil for the core project""}],""shared_context"":{""location"":null,""person"":null,""temporal"":null}}","{""items"":[],""operations"":[{""operation"":""cancel"",""scoped"":false,""target"":""saved reminder to water the basil for the core project""}],""text"":""Okay, cancel the saved reminder to water the basil for the core project.""}",cancellation_correctness:78b75480f29ec647,phenomenon_coverage|safety_critical|failure
rd-b5e3fb407d75185b077d2089,never-mind-withdrawal,family-cancellation-plain,"Cancel the saved reminder to water the basil for the core project— no, never mind that withdrawal, keep it.","{""ambiguity_policy"":""act"",""item_count"":0,""items"":[],""operations"":[{""operation"":""cancel"",""scoped"":false,""target"":""water the basil for the core project""}],""shared_context"":{""location"":null,""person"":null,""temporal"":null}}","{""items"":[{""analysis"":""keep it"",""delivery"":""none"",""due"":null,""location"":""nil"",""needsReview"":false,""person"":null,""quote"":""keep it"",""rawQuote"":""keep it"",""recurrence"":""nil"",""reminder"":null,""route"":""Today"",""state"":""resolved"",""title"":""Keep it"",""type"":""task"",""wasRepaired"":false}],""operations"":[{""operation"":""cancel"",""scoped"":false,""target"":""that withdrawal""}],""text"":""Cancel the saved reminder to water the basil for the core project— no, never mind that withdrawal, keep it.""}",cancellation_correctness|false_positive_item_creation|item_count|over_split|routing|type|wrong_merge:ac0ac0aa1037c5c2,phenomenon_coverage|safety_critical|failure|compound_failure|unusual_item_count|suspicious_synthetic
rd-fc1850c2726ed22f95f06b6c,,family-recurrence-person,Take out the recycling for the client account with Maya Chen on Tue Aug 4 every Tuesday.,"{""ambiguity_policy"":""act"",""item_count"":1,""items"":[{""date"":""Tue Aug 4"",""facts"":[""take out the recycling for the client account""],""forbidden_facts"":[],""location"":null,""needs_review"":false,""negation"":false,""person"":""Maya Chen"",""prohibition"":false,""recurrence"":""weekly:tuesday"",""route"":""Today"",""state"":""outstanding"",""time"":null,""title"":""take out the recycling for the client account"",""type"":""reminder""}],""operations"":[],""shared_context"":{""location"":null,""person"":null,""temporal"":null}}","{""items"":[{""analysis"":""Take out the recycling for the client account with Maya Chen on Tue Aug 4 every Tuesday."",""delivery"":""none"",""due"":1785848400,""location"":""nil"",""needsReview"":false,""person"":null,""quote"":""Take out the recycling for the client account with Maya Chen on Tue Aug 4 every Tuesday."",""rawQuote"":""Take out the recycling for the client account with Maya Chen on Tue Aug 4 every Tuesday."",""recurrence"":""weekly x1 days[3]"",""reminder"":null,""route"":""Today"",""state"":""resolved"",""title"":""Take out the recycling for the client account with Maya Chen on Tue Aug 4 every Tuesday"",""type"":""task"",""wasRepaired"":false}],""operations"":[],""text"":""Take out the recycling for the client account with Maya Chen on Tue Aug 4 every Tuesday.""}",person_preservation|type:9d0cc991e51b6027,failure|hash_random_fill
rd-3650336eab10e9f5737b1072,self-correction-date|hesitation|sign-off-trailing-noise,family-date-correction-relative-date,"On Wednesday— sorry, on Sat Aug 8. remind me to renew the membership for the travel plan on Sat Aug 8, okay that's all.","{""ambiguity_policy"":""act"",""item_count"":1,""items"":[{""date"":""Sat Aug 8"",""facts"":[""renew the membership for the travel plan""],""forbidden_facts"":[""Fri Aug 7""],""location"":null,""needs_review"":false,""negation"":false,""person"":null,""prohibition"":false,""recurrence"":null,""route"":""Today"",""state"":""outstanding"",""time"":null,""title"":""renew the membership for the travel plan"",""type"":""task""}],""operations"":[],""shared_context"":{""location"":null,""person"":null,""temporal"":null}}","{""items"":[{""analysis"":""on Sat Aug 8"",""delivery"":""none"",""due"":1786161600,""location"":""nil"",""needsReview"":false,""person"":null,""quote"":""on Sat Aug 8"",""rawQuote"":""On Wednesday— sorry, on Sat Aug 8"",""recurrence"":""nil"",""reminder"":null,""route"":""Today"",""state"":""resolved"",""title"":""On Sat Aug 8"",""type"":""event"",""wasRepaired"":true},{""analysis"":""remind me to renew the membership for the travel plan on Sat Aug 8, okay that's all"",""delivery"":""notification"",""due"":1786161600,""location"":""nil"",""needsReview"":false,""person"":null,""quote"":""remind me to renew the membership for the travel plan on Sat Aug 8, okay that's all"",""rawQuote"":""remind me to renew the membership for the travel plan on Sat Aug 8, okay that's all"",""recurrence"":""nil"",""reminder"":1786194000,""route"":""Today"",""state"":""resolved"",""title"":""Renew the membership for the travel plan on Sat Aug 8, okay that's all"",""type"":""task"",""wasRepaired"":false}],""operations"":[],""text"":""On Wednesday— sorry, on Sat Aug 8. remind me to renew the membership for the travel plan on Sat Aug 8, okay that's all.""}",item_count|over_split|routing|type|wrong_merge:41caf148a3bc59f8,phenomenon_coverage|multi_phenomenon|failure|compound_failure|unusual_item_count|ai_candidate
