gold    d8d4a4363c411ae50cfcb8d7b63d9695b6320651e5fa03004db1ba9a006d345c
inputs  64fdb26a17dbd94d08067639d4640b4d5047cc34a3ee47515e429fd020c90e40

REPRESENTABILITY, view `any` (no model)
id        gold lines  candidate 1 (ranges)                        candidate 2 (labels)
RB13R        1     5  representable                               representable
RB14C        1     1  representable                               representable
RB16R        1     4  representable                               representable
RB17R      1-2     6  representable                               representable
RB19R      1-2     3  representable                               representable
RB21R        2     4  representable                               representable
RB28C      2-4    10  representable                               representable
RB28R      2-4    14  representable                               representable
RB29C        3     7  representable                               representable
RB29R        3    11  representable                               representable
RB30C      3-4     8  representable                               representable
RB30R      3-4    14  representable                               representable
RB31C        1     4  representable                               representable
RB31R        1     8  representable                               representable
RB33R        2     9  representable                               representable
RB38C        1     3  representable                               representable
RB41R        1     7  representable                               representable
RB43R        2     9  representable                               representable
RB44R        2     8  representable                               representable
RB45R        1     5  representable                               representable
RB46R        1     7  representable                               representable
RB17C      1-2     5  representable                               representable
RB21C        2     2  representable                               representable
CM04         1     4  representable                               representable
CM06         2     2  representable                               representable
CM07       1-2     3  representable                               representable
RS03         1     2  representable                               representable
RS04         1     2  representable                               representable
CAP14       14    14  representable                               representable
CAP25       25    25  capacity: 25 gold units, cap 20             representable
candidate 1 representable 29/30; candidate 2 representable 30/30

REPRESENTABILITY, view `own` (no model)
id        gold lines  candidate 1 (ranges)                        candidate 2 (labels)
RB13R        1     5  representable                               representable
RB14C        1     1  representable                               representable
RB16R        1     4  representable                               representable
RB17R        2     6  representable                               representable
RB19R        2     3  representable                               representable
RB21R        2     4  representable                               representable
RB28C        4    10  representable                               representable
RB28R        4    14  representable                               representable
RB29C        3     7  representable                               representable
RB29R        3    11  representable                               representable
RB30C        4     8  representable                               representable
RB30R        4    14  representable                               representable
RB31C        1     4  representable                               representable
RB31R        1     8  representable                               representable
RB33R        2     9  representable                               representable
RB38C        1     3  representable                               representable
RB41R        1     7  representable                               representable
RB43R        2     9  representable                               representable
RB44R        2     8  representable                               representable
RB45R        1     5  representable                               representable
RB46R        1     7  representable                               representable
RB17C        2     5  representable                               representable
RB21C        2     2  representable                               representable
CM04         1     4  representable                               representable
CM06         2     2  representable                               representable
CM07         2     3  representable                               representable
RS03         1     2  representable                               representable
RS04         1     2  representable                               representable
CAP14       14    14  representable                               representable
CAP25       25    25  capacity: 25 gold units, cap 20             representable
candidate 1 representable 29/30; candidate 2 representable 30/30
