id	domain	utterance	expect	keep	reject	families	note
W01	work-school	okay so um I need to send Priya the deck before the standup tomorrow	Today:task	Priya|deck|Aug 4	-	filler|person|relative-date	one action, one person, one date
W02	work-school	remind me to uh book the room for the retro on Thursday afternoon	Today:task	Aug 6	-	filler|date|time	Thursday from Monday is Aug 6
W03	work-school	the client actually approved the scope so we can start Monday	Memory:note	actually approved	-	self-correction|proper-noun	actually is an ordinary adverb here, not a repair marker
W04	work-school	we have no budget left for contractors this quarter	Memory:note	no budget	-	negation	negation must survive; a note whose point is the negative
W05	work-school	so the thing is I gotta the thing is I gotta finish the migration doc	Today:task	migration doc	-	false-start|repetition	restarted clause should yield one item
W06	work-school	email Dr Okonkwo about the thesis committee and then also book the library room	Today:task|Today:task	Okonkwo|library room	-	multi-thought|person|sequencing	two genuinely separate actions
W07	work-school	my student number is 20419883 in case I need it for the portal	Memory:note	20419883	-	reference|quantity	reference detail, nothing actionable
W08	work-school	standup moved to 9:15 starting next week	Memory:note	9:15	-	time	a fact about a recurring meeting, not a new task
W09	work-school	I need to review the pull request um the one from Sam not the other one	Today:task	Sam	-	filler|self-correction|person	the correction narrows which PR, it is not a new thought
W10	work-school	cancel the one on one with Marcus I already talked to him	Op:cancel	Marcus	-	cancellation|operation|person	withdraws something previously captured
W11	work-school	we should uh actually lets push the launch to the fifteenth	Today:task	fifteenth	-	false-start|date	false start then the real intent
W12	work-school	the quarterly numbers actually improved which nobody expected	Memory:note	actually improved	-	self-correction	actually as adverb again, different sentence shape
W13	work-school	write the grant abstract this week sometime when I have time	Today:task	grant abstract	-	hedged	when-there's-time task, still Today
W14	work-school	professor Lindqvist said the exam is open book	Memory:note	Lindqvist|open book	-	person|reference	reported speech, uncommon surname
W15	work-school	number one we need to finalize the budget and number two we need to tell the team	Today:task|Today:task	budget|tell the team	-	list|sequencing|rambling-intro	numbered list should not create an extra item for the preamble
W16	work-school	did I already send the invoice to accounting	Ambiguous	invoice	-	question|ambiguous	a question to self; acting on it would be a guess
W17	work-school	tell Priya no changes after Thursday	Today:task	Priya|no changes	-	negation|person	the instruction is the prohibition
W18	work-school	set up the sprint review recurring every second Tuesday	Today:task	-	-	recurrence	recurring setup
W19	work-school	um so yeah I think I want to redo the onboarding deck at some point bye	Today:task	onboarding deck	bye	filler|trailing-goodbye|hedged	trailing goodbye must not become content
W20	work-school	the office is closed this week so no standup	Memory:note	no standup	-	negation	negation after a causal so
