# id	utterance	family	expected_destination	expected_thoughts
C001	remind me to uh remind me to call the vet on Thursday	false-start	Today	1
C002	I need to I need to get the oil changed before the trip	false-start	Today	1
C003	we should uh actually lets put milk on the list	false-start	Shopping	1
C004	so the thing is I gotta the thing is I gotta send Priya the deck	false-start	Today	1
C005	pick up pick up the the prescription at Shoppers	false-start	Today	1
C006	add add bananas	false-start	Shopping	1
C007	tomorrow no not tomorrow Wednesday I have the dentist	false-start	Event	1
C008	book a book a table for four at seven	false-start	Today+Event	1
C009	email I mean call Rose about the invoice	false-start	Today	1
C010	put a put a note in memory that Dads blood type is O negative	false-start	Memory	1
C011	let me okay so remind me Friday to renew the parking pass	false-start	Today	1
C012	the um the the the garage door opener needs a battery	false-start	Today	1
C013	remind me to call Mike Tuesday sorry Wednesday	self-correction	Today	1
C014	add eggs to the list actually make that egg whites	self-correction	Shopping	1
C015	meetings at 3 no 3:30	self-correction	Event	1
C016	text Sarah no Sara with no h about the ride	self-correction	Today	1
C017	buy two dozen well one dozen is fine	self-correction	Shopping	1
C018	put it on the Costco list no Walmart	self-correction	Shopping	1
C019	dinner with Jordan Friday scratch that Saturday	self-correction	Event	1
C020	cancel the I mean reschedule the dentist	self-correction	Operation	1
C021	her names Grace sorry Gracie shes the new PM	self-correction	Memory	1
C022	I need milk and bread no we have bread just milk	self-correction	Shopping	1
C023	set an alarm for 6 make it 5:45	self-correction	Today (alarm)	1
C024	remind me at noon actually dont Ill be driving make it 2	self-correction	Today	1
C025	um so like I need to you know call the landlord about the leak	fillers	Today	1
C026	anyway right so the thing with the taxes is due April 30th	fillers	Today	1
C027	I mean honestly we should probably just book the flights	fillers	Today (low confidence)	1
C028	so uh yeah um like grab like a bag of ice	fillers	Shopping	1
C029	you know what remind me to water the plants	fillers	Today	1
C030	like literally I keep forgetting to like return the router	fillers	Today	1
C031	okay so um Tuesday right Tuesday Ive got the thing with the bank	fillers	Event	1
C032	well I mean I guess I could call them tomorrow	fillers	Ambiguous-preserve	0-1
C033	so anyway the point is Marks birthday is the 14th	fillers	Memory+Event	1-2
C034	uh huh yeah so add uh paper towels	fillers	Shopping	1
C035	right so like note to self the wifi password is on the fridge	fillers	Memory	1
C036	I dunno like maybe pick up flowers or something	fillers	Ambiguous-preserve	0-1
C037	remind me to call the guy who fixed the fence last spring	nested-clause	Today	1
C038	before I forget the meeting that got moved is now on the 12th	nested-clause	Event / Operation	1
