# Routing / action-ownership development set.
#
# Same five columns and the same scorer as `heldout/`, deliberately: the number
# that matters there — a confident action on a capture nobody can pin down — is
# the number this set exists to move. The held-out set stays unread; this one is
# for iteration.
#
# Written from the product contract, not from probe output.
#
#   Today               belongs on Today, actionable
#   Memory              belongs in Memory, keep it, do not act
#   Ambiguous-preserve  meaning cannot be pinned down: keep the words, schedule
#                       nothing, date nothing, mutate nothing
#   Operation           an explicit instruction to change stored data
#
# Columns: id, utterance, family, expected_destination, expected_thoughts
#
id	utterance	family	expected_destination	expected_thoughts
# --- Action ownership: whose action is it? -----------------------------------
AO01	call Mike	ownership-user	Today	1
AO02	I need to call Mike	ownership-user	Today	1
AO03	remind me to call Mike	ownership-user	Today	1
AO04	Sarah told me to call Mike	ownership-user	Today	1
AO05	Mike asked me to send the invoice	ownership-user	Today	1
AO06	Sarah will call Mike	ownership-other	Memory	1
AO07	Mike is calling Sarah tomorrow	ownership-other	Memory	1
AO08	Mike should call Sarah	ownership-other	Memory	1
AO09	Sarah told Mike to call me	ownership-other	Memory	1
AO10	Priya is going to book the venue	ownership-other	Memory	1
AO11	the landlord will fix the sink	ownership-other	Memory	1
AO12	Dana said she would send the file	ownership-other	Memory	1
AO13	my brother has to renew his passport	ownership-other	Memory	1
AO14	Mike needs to pay the invoice	ownership-other	Memory	1
AO15	the team is presenting on Thursday	ownership-other	Memory	1
AO16	tell Sarah to call Mike	ownership-delegated	Today	1
AO17	ask Priya to send the deck	ownership-delegated	Today	1
AO18	text Mike to bring the charger	ownership-delegated	Today	1
# --- Reported speech and reported commands -----------------------------------
RC01	Sarah said the meeting is off	reported	Memory	1
RC02	Sarah said call Mike tomorrow	reported	Memory	1
RC03	Mike said to book the room	reported	Memory	1
RC04	Priya mentioned the office is closed Friday	reported	Memory	1
RC05	Dana said the deal is cancelled	reported	Memory	1
RC06	my boss said to finish it by Friday	reported	Today	1
RC07	Sarah said she is running late	reported	Memory	1
RC08	the doctor said to stop the medication	reported	Memory	1
RC09	Mike told everyone the launch slipped	reported	Memory	1
RC10	Sarah says the venue is double booked	reported	Memory	1
# --- Hypothetical and possible future actions --------------------------------
HY01	I might call Mike	hypothetical	Memory	1
HY02	I could book the flights this week	hypothetical	Memory	1
HY03	maybe I should call the dentist	hypothetical	Memory	1
HY04	I was thinking of calling Priya	hypothetical	Memory	1
HY05	we may need to renew the lease	hypothetical	Memory	1
HY06	it might be worth emailing the agent	hypothetical	Memory	1
HY07	I would call them if I had the number	hypothetical	Memory	1
HY08	if the weather holds we could go Saturday	hypothetical	Memory	1
HY09	I'm considering switching dentists	hypothetical	Memory	1
HY10	possibly move the meeting to Friday	hypothetical	Ambiguous-preserve	1
# --- Noun fragments carrying a time ------------------------------------------
