# Unfinished-thought development set.
#
# The behaviour this set exists for: a person opens a thought out loud and
# never finishes it. Speak It must not manufacture an action from the half
# they did say, and must not treat every short sentence as a fragment.
#
# Written from the product contract before reading any detector, and
# deliberately adversarial in the false-positive direction: two thirds of it is
# things that look like fragments and are not. A detector that flags everything
# scores worse here than one that flags nothing.
#
# Columns: id, utterance, family, expectation, note
#
#   Incomplete  a frame was opened and its required content never arrived.
#               Keep the words, flag for recovery, schedule nothing.
#   Complete    a finished thought. Must NOT be called unfinished, whatever
#               else happens to it.
#   Abandoned   the speaker explicitly withdrew it out loud.
#   Mixed       one finished thought and one unfinished one in one capture.
#               The finished half must survive.
#
id	utterance	family	expectation	note
# --- Dangling infinitive: "to" with no verb after it -------------------------
INC01	Tomorrow I want to	dangling-infinitive	Incomplete	the headline case
INC02	I need to	dangling-infinitive	Incomplete	
INC03	I was going to	dangling-infinitive	Incomplete	
INC04	I should probably	dangling-infinitive	Incomplete	modal with no verb
INC05	Later I should	dangling-infinitive	Incomplete	
INC06	I have to	dangling-infinitive	Incomplete	
INC07	I meant to	dangling-infinitive	Incomplete	
INC08	I keep meaning to	dangling-infinitive	Incomplete	
INC09	I ought to	dangling-infinitive	Incomplete	
INC10	I am going to	dangling-infinitive	Incomplete	
INC11	I'm supposed to	dangling-infinitive	Incomplete	
INC12	Next week I was going to	dangling-infinitive	Incomplete	temporal prefix
INC13	tomorrow i want to	dangling-infinitive	Incomplete	lowercased, unpunctuated
INC14	i need to	dangling-infinitive	Incomplete	lowercased
INC15	Tomorrow I want to.	dangling-infinitive	Incomplete	recognizer added a period
INC16	I need to...	dangling-infinitive	Incomplete	ellipsis
INC17	At some point I need to	dangling-infinitive	Incomplete	vague temporal prefix
INC18	This weekend I have to	dangling-infinitive	Incomplete	
INC19	I really need to	dangling-infinitive	Incomplete	intensifier
INC20	I definitely have to	dangling-infinitive	Incomplete	
# --- Reminder frame with no content -----------------------------------------
INC21	Remind me to	reminder-no-content	Incomplete	
INC22	Don't forget to	reminder-no-content	Incomplete	
INC23	Tomorrow remind me to	reminder-no-content	Incomplete	
INC24	Remind me later to	reminder-no-content	Incomplete	
